Pattern, Color, # Bits, Bits, Count, LumenAvg, Lumen0, Lumen1, Lumen2
spread, Green, 0b0101110111011101, 11, 3 of 3, 1409, 1454, 1351, 1422
spread, Green, 0b1101110111011101, 12, 3 of 3, 1536, 1586, 1474, 1549
spread, Green, 0b1101110111111101, 13, 3 of 3, 1664, 1720, 1597, 1677
spread, Green, 0b1111110111111101, 14, 3 of 3, 1794, 1851, 1718, 1813
spread, Green, 0b1101111111111111, 15, 3 of 3, 1921, 1984, 1841, 1940
spread, Green, 0b1111111111111111, 16, 3 of 3, 2049, 2116, 1964, 2067
spread, Blue, 0b0000000000000000, 0, 3 of 3, 0, 0, 0, 0
spread, Blue, 0b0000000000000001, 1, 3 of 3, 31, 30, 32, 31
spread, Blue, 0b0000000100000001, 2, 3 of 3, 64, 65, 64, 64
spread, Blue, 0b0000010000100001, 3, 3 of 3, 99, 98, 95, 106
spread, Blue, 0b0001000100010001, 4, 3 of 3, 131, 133, 127, 135
spread, Blue, 0b0010010001001001, 5, 3 of 3, 164, 166, 160, 168
spread, Blue, 0b0010010100100101, 6, 3 of 3, 197, 200, 191, 200
spread, Blue, 0b0101010010100101, 7, 3 of 3, 232, 235, 223, 239
spread, Blue, 0b0101010101010101, 8, 3 of 3, 265, 269, 255, 271
spread, Blue, 0b0101010111010101, 9, 3 of 3, 297, 302, 287, 304
spread, Blue, 0b0101110101011101, 10, 3 of 3, 333, 337, 320, 342
spread, Blue, 0b0101110111011101, 11, 3 of 3, 365, 371, 350, 375
spread, Blue, 0b1101110111011101, 12, 3 of 3, 398, 405, 383, 408
spread, Blue, 0b1101110111111101, 13, 3 of 3, 433, 439, 415, 445
spread, Blue, 0b1111110111111101, 14, 3 of 3, 466, 473, 446, 479
spread, Blue, 0b1101111111111111, 15, 3 of 3, 498, 507, 478, 511
spread, Blue, 0b1111111111111111, 16, 3 of 3, 534, 542, 510, 550
spread, White, 0b0000000000000000, 0, 3 of 3, 0, 0, 0, 0
spread, White, 0b0000000000000001, 1, 3 of 3, 235, 240, 226, 239
